"filename", "language", "C++", "Markdown", "CMake", "comment", "blank", "total"
"/Users/jamesweigand/Desktop/Carbon/Carbon/CMakeLists.txt", "CMake", 0, 0, 3, 0, -1, 2
"/Users/jamesweigand/Desktop/Carbon/Carbon/README.md", "Markdown", 0, 24, 0, 0, 4, 28
"/Users/jamesweigand/Desktop/Carbon/Carbon/README_BACKUP_25526.md", "Markdown", 0, 26, 0, 0, 5, 31
"/Users/jamesweigand/Desktop/Carbon/Carbon/README_BASE_25526.md", "Markdown", 0, 2, 0, 0, 1, 3
"/Users/jamesweigand/Desktop/Carbon/Carbon/README_LOCAL_25526.md", "Markdown", 0, 11, 0, 0, 2, 13
"/Users/jamesweigand/Desktop/Carbon/Carbon/README_REMOTE_25526.md", "Markdown", 0, 11, 0, 0, 3, 14
"/Users/jamesweigand/Desktop/Carbon/Carbon/src/asset.cpp", "C++", -1, 0, 0, 0, -1, -2
"/Users/jamesweigand/Desktop/Carbon/Carbon/src/bitmap.cpp", "C++", -1, 0, 0, 0, -1, -2
"/Users/jamesweigand/Desktop/Carbon/Carbon/src/bitmap.hpp", "C++", 0, 0, 0, 0, -1, -1
"/Users/jamesweigand/Desktop/Carbon/Carbon/src/bitmap_render.cpp", "C++", -1, 0, 0, 0, -1, -2
"/Users/jamesweigand/Desktop/Carbon/Carbon/src/bytestream.cpp", "C++", 3, 0, 0, 0, 1, 4
"/Users/jamesweigand/Desktop/Carbon/Carbon/src/bytestream.hpp", "C++", 3, 0, 0, 1, 2, 6
"/Users/jamesweigand/Desktop/Carbon/Carbon/src/color.cpp", "C++", 46, 0, 0, 0, 14, 60
"/Users/jamesweigand/Desktop/Carbon/Carbon/src/color.hpp", "C++", 36, 0, 0, 8, 5, 49
"/Users/jamesweigand/Desktop/Carbon/Carbon/src/filestream.cpp", "C++", 18, 0, 0, 0, 6, 24
"/Users/jamesweigand/Desktop/Carbon/Carbon/src/filestream.hpp", "C++", 11, 0, 0, 0, 1, 12
"/Users/jamesweigand/Desktop/Carbon/Carbon/src/filewrite.cpp", "C++", 28, 0, 0, 7, 12, 47
"/Users/jamesweigand/Desktop/Carbon/Carbon/src/filewrite.hpp", "C++", 12, 0, 0, 0, 2, 14
"/Users/jamesweigand/Desktop/Carbon/Carbon/src/json.cpp", "C++", -1, 0, 0, 0, -2, -3
"/Users/jamesweigand/Desktop/Carbon/Carbon/src/json.hpp", "C++", 71, 0, 0, 4, 11, 86
"/Users/jamesweigand/Desktop/Carbon/Carbon/src/logger.cpp", "C++", 165, 0, 0, 11, 51, 227
"/Users/jamesweigand/Desktop/Carbon/Carbon/src/logger.hpp", "C++", 60, 0, 0, 18, 7, 85
"/Users/jamesweigand/Desktop/Carbon/Carbon/src/png.cpp", "C++", 398, 0, 0, 58, 88, 544
"/Users/jamesweigand/Desktop/Carbon/Carbon/src/png.hpp", "C++", 28, 0, 0, 0, 3, 31
"/Users/jamesweigand/Desktop/Carbon/Carbon/src/realigned_buffer.hpp", "C++", 31, 0, 0, 16, 9, 56
"/Users/jamesweigand/Desktop/Carbon/Carbon/src/silk.cpp", "C++", 62, 0, 0, 62, 21, 145
"/Users/jamesweigand/Desktop/Carbon/Carbon/src/silk.hpp", "C++", 67, 0, 0, 34, 12, 113
"/Users/jamesweigand/Desktop/Carbon/Carbon/src/ttf.cpp", "C++", -1, 0, 0, 0, -1, -2
"/Users/jamesweigand/Desktop/Carbon/Carbon/src/ttf_render.cpp", "C++", -1, 0, 0, 0, -1, -2
"/Users/jamesweigand/Desktop/Carbon/Carbon/src/ttf_render.hpp", "C++", 0, 0, 0, 12, 1, 13
"/Users/jamesweigand/Desktop/Carbon/Carbon/src/types.hpp", "C++", -1, 0, 0, 0, 0, -1
"/Users/jamesweigand/Desktop/Carbon/Carbon/src/vec.cpp", "C++", 0, 0, 0, 0, 1, 1
"/Users/jamesweigand/Desktop/Carbon/Carbon/src/vec.hpp", "C++", 151, 0, 0, 3, 47, 201
"/Users/jamesweigand/Desktop/Carbon/Carbon/src/xml.cpp", "C++", -1, 0, 0, 0, 0, -1
"Total", "-", 1182, 74, 3, 234, 300, 1793
